type, gen_len, x(num_reads, y(read_length), setup_time, match_time, base_memory, setup_memory
bwt, 1000000, 10000, 100, 12.19064193599479, 0.5554201920022024, 30767133, 103191566
bwt, 1000000, 10000, 1, 12.128202615000191, 0.005779251994681545, 22846979, 95551412
bwt, 1000000, 10000, 2, 12.082444296996982, 0.00822004499786999, 22926979, 95631412
bwt, 1000000, 10000, 4, 12.15807465499529, 0.013224960006482434, 23086979, 95791412
bwt, 1000000, 10000, 8, 12.092753821998485, 0.029328151998925023, 23407081, 95831514
bwt, 1000000, 10000, 16, 12.116749914996035, 0.07026657599635655, 24047132, 96471565
bwt, 1000000, 10000, 32, 12.12356175199966, 0.15736447500239592, 25327132, 97751565
bwt, 1000000, 10000, 64, 12.17933344499761, 0.3233168909937376, 27887130, 100311563
bwt, 1000000, 10000, 128, 12.19087382699945, 0.7108240340021439, 33007133, 105431566
bwt, 1000000, 10000, 256, 12.286670579000202, 1.7212309289971017, 43247133, 115671566
bwt, 1000000, 10000, 512, 12.402928780000366, 4.285301083000377, 63727161, 136151594
bwt, 1000000, 10000, 1024, 12.694848479004577, 11.724406039000314, 104687060, 177111493
bwt, 1000000, 1, 100, 12.076016093997168, 0.00010184100392507389, 21560051, 93896866
bwt, 1000000, 2, 100, 12.093853709004179, 0.00017430000298190862, 21560963, 93897778
bwt, 1000000, 4, 100, 12.02308531000017, 0.0002946290042018518, 21562787, 93899602
bwt, 1000000, 8, 100, 12.072883477994765, 0.0005292169953463599, 21566365, 93903212
bwt, 1000000, 16, 100, 12.090732905999175, 0.000994508998701349, 21573878, 93910789
bwt, 1000000, 32, 100, 12.011756892003177, 0.001957701999344863, 21588520, 93925583
bwt, 1000000, 64, 100, 12.04580500099837, 0.003861668999888934, 21618102, 93955461
bwt, 1000000, 128, 100, 12.033433107993915, 0.00707301600050414, 21677079, 94015046
bwt, 1000000, 256, 100, 12.017736385001626, 0.014139962004264817, 21794781, 94133716
bwt, 1000000, 512, 100, 12.026527588997851, 0.028050598004483618, 22030367, 94371358
bwt, 1000000, 1024, 100, 12.07154952899873, 0.05570010299561545, 22502418, 94848251
bwt, 1000000, 2048, 100, 12.053245122995577, 0.11462845700589241, 23443844, 95797213
bwt, 1000000, 4096, 100, 12.101082048000535, 0.22305232499638805, 25328988, 97699725
bwt, 1000000, 8192, 100, 12.166519327001879, 0.46410656399530126, 29099772, 101505741
bwt, 1000000, 16384, 100, 11.813824010001554, 0.9254956770018907, 36642301, 109119694
bwt, 1000000, 32768, 100, 12.00103187700006, 1.7614239270042162, 51729309, 124351502
bwt, 1000000, 65536, 100, 11.986903548000555, 3.607316493995313, 81907277, 154823022
bwt, 1000000, 131072, 100, 12.287881555006607, 7.297017974000482, 142271120, 215781977
bwt, 1000000, 262144, 100, 12.641329705002136, 14.462941803998547, 262750790, 337203551
bwt, 1000000, 524288, 100, 12.665116044998285, 28.161381571000675, 504000180, 580627005
bwt, 1000000, 1048576, 100, 12.983223701005045, 56.4955381020045, 986558287, 1067592560
