type, gen_len, x(num_reads, y(read_length), setup_time, match_time, base_memory, setup_memory, k, c
ebwt, 1000000, 10000, 100, 12.319808975997148, 1.2033838130009826, 30771639, 196673294, 1, 1
ebwt, 1000000, 10000, 100, 12.347453837996, 1.3536585260007996, 30771741, 173170696, 1, 2
ebwt, 1000000, 10000, 100, 12.348063015990192, 1.466066092994879, 30771741, 157835492, 1, 4
ebwt, 1000000, 10000, 100, 12.262399612009176, 1.6190808799874503, 30771741, 146286600, 1, 8
ebwt, 1000000, 10000, 100, 12.369490334996954, 1.9823509720008587, 30771792, 138125023, 1, 16
ebwt, 1000000, 10000, 100, 12.32063571200706, 2.7439808789931703, 30771690, 133448281, 1, 32
ebwt, 1000000, 10000, 100, 12.368665021000197, 4.170564586005639, 30771792, 131075343, 1, 64
ebwt, 1000000, 10000, 100, 12.306154175996198, 7.014813277011854, 30771793, 129888636, 1, 128
ebwt, 1000000, 10000, 100, 12.331902520003496, 1.1707645209971815, 30771739, 147709286, 2, 1
ebwt, 1000000, 10000, 100, 12.305704991988023, 1.3201994830014883, 30771741, 124206532, 2, 2
ebwt, 1000000, 10000, 100, 12.3400570750091, 1.3986999740009196, 30771639, 108861482, 2, 4
ebwt, 1000000, 10000, 100, 12.255866295992746, 1.5889255729998695, 30771741, 97328428, 2, 8
ebwt, 1000000, 10000, 100, 12.327442683003028, 1.9711356949992478, 30771792, 89160215, 2, 16
ebwt, 1000000, 10000, 100, 12.285296592002851, 2.6536690640059533, 30771792, 84484023, 2, 32
ebwt, 1000000, 10000, 100, 12.332514702007757, 4.068805287999567, 30771790, 82110981, 2, 64
ebwt, 1000000, 10000, 100, 12.242904932994861, 6.876251821988262, 30771793, 80924360, 2, 128
ebwt, 1000000, 10000, 100, 12.348568877001526, 1.1855092810001224, 30771741, 123226672, 4, 1
ebwt, 1000000, 10000, 100, 12.290750158994342, 1.3000164510012837, 30771741, 99727080, 4, 2
ebwt, 1000000, 10000, 100, 12.357622758994694, 1.4602276570076356, 30771741, 84375860, 4, 4
ebwt, 1000000, 10000, 100, 12.293588594999164, 1.5895358859997941, 30771741, 72845084, 4, 8
ebwt, 1000000, 10000, 100, 12.251698594001937, 1.9267320670041954, 30771790, 64678017, 4, 16
ebwt, 1000000, 10000, 100, 12.251341317009064, 2.656755058997078, 30771792, 60001631, 4, 32
ebwt, 1000000, 10000, 100, 12.304285692007397, 4.072819174005417, 30771792, 57628703, 4, 64
ebwt, 1000000, 10000, 100, 12.248534718004521, 6.946866635989863, 30771793, 56441800, 4, 128
ebwt, 1000000, 10000, 100, 12.227717735004262, 1.169099793987698, 30771639, 110985670, 8, 1
ebwt, 1000000, 10000, 100, 12.254771469000843, 1.3653836930025136, 30771741, 87491388, 8, 2
ebwt, 1000000, 10000, 100, 12.293545968001126, 1.4396587849914795, 30771741, 72129192, 8, 4
ebwt, 1000000, 10000, 100, 12.301595519005787, 1.661808012999245, 30771741, 60598696, 8, 8
ebwt, 1000000, 10000, 100, 12.323800100013614, 1.99104681800236, 30771792, 52436503, 8, 16
ebwt, 1000000, 10000, 100, 12.28483727099956, 2.6578532040002756, 30771690, 47760349, 8, 32
ebwt, 1000000, 10000, 100, 12.321891611005412, 4.114194986992516, 30771792, 45387663, 8, 64
ebwt, 1000000, 10000, 100, 12.267033596988767, 6.91055508700083, 30771793, 44200816, 8, 128
ebwt, 1000000, 10000, 100, 12.304341844006558, 1.2250339910096955, 30771792, 104865203, 16, 1
ebwt, 1000000, 10000, 100, 12.210916506999638, 1.3703588729986222, 30771790, 81362837, 16, 2
