type, gen_len, x(num_reads, y(read_length), setup_time, match_time, base_memory, setup_memory
sa, 1000000, 10000, 100, 11.44633766899642, 1.3099314709979808, 30767132, 67688981
sa, 1000000, 10000, 1, 11.352586036002322, 0.27575294399866834, 22847080, 59981925
sa, 1000000, 10000, 2, 11.344937556001241, 0.3592793200004962, 22927080, 60110925
sa, 1000000, 10000, 4, 11.334929450000345, 0.5508281879956485, 23087080, 60287585
sa, 1000000, 10000, 8, 11.35571575799986, 0.8252966020008898, 23407080, 60608985
sa, 1000000, 10000, 16, 11.304024618999392, 0.8469100479996996, 24047131, 60969064
sa, 1000000, 10000, 32, 11.366348863004532, 0.9394689079999807, 25327029, 62248878
sa, 1000000, 10000, 64, 11.331918452000536, 1.1004208939993987, 27887029, 64808766
sa, 1000000, 10000, 128, 11.492488376999972, 1.4474392740012263, 33007132, 69928981
sa, 1000000, 10000, 256, 11.49604411800101, 2.1371728270023596, 43247132, 80168981
sa, 1000000, 10000, 512, 11.681728678995569, 3.799148886995681, 63727160, 100649009
sa, 1000000, 10000, 1024, 11.855305001001398, 6.858948272994894, 104687159, 141609008
sa, 1000000, 1, 100, 11.301264173001982, 0.00015175599401118234, 21560050, 57553729
sa, 1000000, 2, 100, 11.242359049996594, 0.00030783500551478937, 21560860, 57554623
sa, 1000000, 4, 100, 11.289579887998116, 0.0006131760019343346, 21562786, 57556689
sa, 1000000, 8, 100, 11.232355430998723, 0.001265569000679534, 21566466, 57560765
sa, 1000000, 16, 100, 11.290738130002865, 0.002456328002153896, 21573775, 57569001
sa, 1000000, 32, 100, 11.261515731996042, 0.004395382995426189, 21588621, 57585315
sa, 1000000, 64, 100, 11.270576581002388, 0.008422619997872971, 21618099, 57617805
sa, 1000000, 128, 100, 11.220061442996666, 0.017102997000620235, 21677078, 57682768
sa, 1000000, 256, 100, 11.285362655005883, 0.03332607600168558, 21794782, 57812192
sa, 1000000, 512, 100, 11.329284639003163, 0.06661493099818472, 22030264, 58071234
sa, 1000000, 1024, 100, 11.271884533998673, 0.13337358399439836, 22502419, 58591740
sa, 1000000, 2048, 100, 11.291488200004096, 0.2658482609986095, 23443741, 59626586
sa, 1000000, 4096, 100, 11.316407462996722, 0.546868990000803, 25328987, 61701176
sa, 1000000, 8192, 100, 11.41392986199935, 1.0708142219955334, 29099771, 65851340
sa, 1000000, 16384, 100, 11.014437855003052, 2.135066643000755, 36642300, 74153309
sa, 1000000, 32768, 100, 11.242746354997507, 4.245568646998436, 51729308, 90761205
sa, 1000000, 65536, 100, 11.19248573200457, 8.383106220004265, 81907276, 123985349
sa, 1000000, 131072, 100, 11.535290585998155, 16.80196243499813, 142271119, 190448460
sa, 1000000, 262144, 100, 11.929169673996512, 33.612043938999705, 262750687, 322879196
sa, 1000000, 524288, 100, 11.92911485300283, 67.58831364999787, 504000181, 588321310
sa, 1000000, 1048576, 100, 12.232791525995708, 134.00100658200245, 986558284, 1119322517
